Date,Stock Splits,Symbol
2007-09-19,103:100,AROW
2009-09-16,103:100,AROW
2010-09-17,103:100,AROW
2011-09-19,103:100,AROW
2012-09-17,102:100,AROW
2013-09-17,102:100,AROW
2014-09-17,102:100,AROW
2015-09-17,102:100,AROW
2017-09-19,103:100,AROW
2018-09-18,103:100,AROW
2019-09-16,103:100,AROW
2022-09-16,103:100,AROW
2015-08-03,1:8,ARR
2023-10-02,1:5,ARR
2022-08-10,1:15,ARTL
2003-07-01,3:2,ARTNA
2006-07-03,3:2,ARTNA
2008-07-31,2:1,ARTW
1981-01-12,2:1,ARW
1997-10-16,2:1,ARW
2004-01-15,1:65,ARWR
2011-11-17,1:10,ARWR
2010-05-04,3:1,ASA
1985-09-18,2:1,ASB
1987-05-12,11:10,ASB
1990-05-10,11:10,ASB
1993-08-16,11:10,ASB
1995-06-16,5:4,ASB
1997-03-03,6:5,ASB
1998-06-15,5:4,ASB
2000-05-30,11:10,ASB
2002-04-25,11:10,ASB
2004-05-13,3:2,ASB
1997-10-21,2:1,ASGN
2000-04-04,2:1,ASGN
1988-07-29,2:1,ASH
2000-03-30,10000:9465,ASH
2005-07-01,10000:8212,ASH
2017-05-15,511:250,ASH
2023-03-13,1:5,ASLN
2024-07-03,1:8,ASLN
2014-07-14,1:5,ASMB
2024-02-12,1:12,ASMB
1997-05-12,2:1,ASML
1998-05-08,2:1,ASML
2000-04-17,3:1,ASML
2007-10-01,8:9,ASML
2023-04-19,1:10,ASNS
2021-05-18,1:4,ASRT
1998-08-03,3:1,ASRV
2024-07-02,1:5,ASST
2007-11-29,1:10,ASTC
2017-10-16,1:5,ASTC
2022-12-05,1:30,ASTC
1993-09-13,2:1,ASTE
1999-01-19,2:1,ASTE
2023-09-12,1:200,ASTI
2023-09-14,1:15,ASTR
2009-12-29,1:10,ASUR
2012-05-01,3:2,ASUR
1994-02-16,2:1,ASXC
1996-06-28,2:1,ASXC
1999-01-05,1:10,ASXC
2014-04-02,1:5,ASXC
2019-12-12,1:13,ASXC
2001-07-17,117:100,ASX
2003-08-22,11:10,ASX
2004-08-25,10574:10000,ASX
2005-09-07,10998:10000,ASX
2007-08-20,11479:10000,ASX
2008-08-13,1029:1000,ASX
1988-04-27,1:20,ASYS
1993-06-07,1:2,ASYS
1996-04-16,2:1,ASYS
1999-03-16,1:2,ASYS
2016-08-25,1:12,ATEC
2024-03-22,1:12,ATER
1995-06-22,2:1,ATGE
1996-12-19,2:1,ATGE
1998-06-22,2:1,ATGE
2016-03-24,1:6,ATHE
2023-01-09,1:10,ATHE
2023-06-15,1:50,ATIP
2005-07-18,3:1,ATLO
2022-12-19,1:20,ATNF
2024-02-28,1:19,ATNF
2006-04-03,5:2,ATNI
2020-08-11,1:30,ATNM
1985-06-13,2:1,ATO
1994-05-17,3:2,ATO
2016-08-26,1:15,ATOS
2018-04-20,1:12,ATOS
2024-06-20,1:25,ATRA
1998-08-26,2:1,ATR
2007-05-10,2:1,ATR
1983-06-06,2:1,ATRI
1996-12-03,3:2,ATRI
1983-06-13,5:4,ATRO
1984-05-29,5:4,ATRO
1985-05-28,5:4,ATRO
1986-05-27,5:4,ATRO
1987-05-26,5:4,ATRO
1996-10-01,5:4,ATRO
1998-10-14,11:10,ATRO
2012-10-25,115:100,ATRO
2013-10-08,1249:1000,ATRO
2014-09-03,1202:1000,ATRO
2015-10-06,115:100,ATRO
2016-10-06,115:100,ATRO
2018-10-11,1182:1000,ATRO
2019-03-05,1:20,ATXG
2022-09-23,1:15,ATXI
2024-04-26,1:75,ATXI
